序号,单词,词性、词义,词义,,,
56,build,vt.建造;建筑;建设;建立,vi.增大;增强,,,
57,burn,v.燃烧;烧着;烧毁;灼伤,n.烧伤;灼伤,,,
58,burst,vi./n.爆炸;破裂,vi.(into)突然发生(发作),,,
59,bury,vt.埋葬;葬;掩埋;埋藏;掩藏,,,,
60,buy,vt.买;买得;向…行贿;收买vi.购买东西,,,,
61,call,vt.叫;喊;打电话,vi.叫;访问,n.叫;号召,,
62,can't,v.不能,,,,
63,carry,vt.运;送;搬;拿;抱;背;传播;输送,,,,
65,cash,vt.兑换成现钱;付现金,n.现金;现款,,,
66,cast,v.投掷;铸造;投(票),n.铸件;模子;石膏,,,
67,catch,vt.捕捉;赶上(车);染上(病),n.捕获物,,,
68,celebrate,vt.庆祝;颂扬;赞美vi.庆祝;过节,,,,
69,chalk,vt.用粉笔写或画,n.白垩;粉笔,,,
70,chance,vi.碰巧;偶然发生,n.机会;可能性;偶然性,,,
71,cheat,vt.欺骗;骗取,vi.行骗;作弊,n.欺骗;骗子,,
72,check,vt./n.检查;核对;阻止;控制;支票;账单,,,,
73,cheer,vt.使高兴;使鼓舞,vi./n.欢呼;喝彩;振奋,,,
74,chew,vt.咀嚼;嚼烟;深思,,,,
75,choke,v.窒息;(使)噎住;堵塞,n.发动机中节气门,,,
76,choose,vt.挑选;选择(过去式为chose),,,,
77,clap,v.拍手;拍;轻拍,n.拍(手);掌声;霹雳声,,,
78,climb,v.攀登;爬,n.攀登;爬;攀登的地方,,,
79,close,v./n.关;结束,a./ad.近的(地);紧密的(地),,,
80,coast,v.投掷;铸造;投(票),n.铸件;模子;石膏,,,
82,collect,v.收集;领取;接走;收(税等);聚集;堆积,,,,
83,comb,vt.用梳子梳(comb也可作名词;表示“梳子”),,,,
84,combine,v.联合;化合,n.集团,,,
85,come,v.来;出现于;产生;是;成为;开始;终于,,,,
86,comment,vi.发表意见;提出看法,n.评论;意见;解说,,,
87,communicate,vt.交际;交流(思想等);传达;传送;通讯,,,,
88,compare,vt.比较,,,,
89,compete,vi.比赛;竞争;对抗,,,,
90,conclude,v.结束[(+by/with)] 推断出;断定[W][Y][+that],v.缔结(条约)[(+with)],,,
91,confuse,vt.使困惑;把…弄糊涂;混淆;混乱;搞乱,,,,
92,congratulate,vt.(on;upon)祝贺;向…道喜,,,,
93,connect,vt.连接;与…联系;接通(电话),vi.连接,,,
94,consider,v.考虑;细想;体谅;顾及;认为;把…看作,,,,
95,contain,v.包含;容纳;容忍;自制;牵制敌军,,,,
96,continue,v.(使)继续;连续;持续,,,,
97,cost,n.费用;成本,,,,
98,cough,vi.咳;咳嗽,n.咳嗽,,,
99,could,v./aux.(口语)(表示许可或请求)可以…;行,,,,
100,count,v.计算;数到;点…数,n.计数;计算;总数,,,
101,cover,vt.覆盖;涉及;经过,n.覆盖物;掩护物;罩,,,
102,creat,vt.创造,,,,
103,cure,vt.治愈;消除;矫正n.治愈;治疗;药(剂),,,,
104,dare,vt.敢;竟敢;向…挑战;激,aux./v.胆敢;敢,,,
105,dawn,vi.破晓;(天)亮起来,n.黎明;天亮;曙光,,,
106,deal,v.处理;给予;经营,n.数量;程度;交易,,,
107,decide,vt.决定;裁决;解决,vi.拿定主意;判定,,,
108,declare,v.宣告;宣布;声明;断言;申报(纳税物品),,,,
109,defeat,vt.战胜;击败;挫败;使落空,n.击败;战胜,,,
110,defend,vt.保卫;保护;为…辩护;为(论文等)答辩,,,,
111,deliver,vt.投递交;发表;接生;给予;解救;拯救,,,,
112,demand,vt.要求;强令;需要;询问,n.要求;需要;需求,,,
113,depend,v.(on)依靠;依赖;信赖;决定于;视…而定,,,,
114,describe,vt.描绘;描写;形容;把…说成,,,,
115,despair,vi.灰心丧气;感到沮丧绝望,n.绝望;沮丧,,,
116,destroy,vt.破坏;摧毁;使破灭;消灭;打破;粉碎,,,,
117,determine,vt.确定;决定;使下决心vi.下决心,,,,
118,develop,vt.发展;形成;开发,vi.发展;成长;发育,,,
119,devote,vt.将…奉献(给);把…专用于;致力于,,,,
120,die,vi.死;死亡;(草木)枯萎;凋谢;渴望,,,,
121,dig,vt./vi.挖;掘;刺;搜寻n.戳;捅;挖苦,,,,
122,digest,vt.消化;领会;融会贯通,n.文摘;摘要,,,
123,dip,v.使…(在液体中)泡(一下);(使)浸;(使)沾,,,,
124,disagree,v.(with)意见不合;有分歧;不一致;不符,,,,
125,disappear,vi.消失;不见;消亡;失踪,,,,
126,disappoint,vt.失望;(希望等)破灭;挫败(计划等),,,,
127,discover,vt.发现;看出;暴露;显示,,,,
128,discuss,vt.讨论;商议;议论;详述,,,,
129,dislike,vt.不喜欢,,,,
130,disobey,v.不服从;不听命令,,,,
131,disturb,vt.打扰;使焦灼不安;扰乱;弄乱;妨碍,,,,
132,divide,vt.分;划分;隔开;分配;分享;隔开;除,,,,
133,draw,v.画;向…移动;拖;拔出;提取;作出n.平局,,,,
134,drink,v.(drank;drunk)喝;饮,n.饮料;喝酒,,,
135,drive,v.驾驶;开动;把(钉、桩等)打入;驱;迫使,,,,
136,drop,v.投下;滴落;下降;降低n.滴;下降;微量,,,,
137,drown,v.淹死;(高声音)遮掩(低声音),,,,
138,drug,v.掺麻醉药/毒药于(食物、饮料等);用药麻醉,,,,
139,dye,vt./vi.染;染色,n.染料;染色,,,
140,earn,vt.博得;赢得;赚得;掐得,,,,
141,eat,vt.吃;喝vi.吃饭;吃东西,,,,
142,edit,vt.编辑;校订;主编;编辑;剪辑(影片等),,,,
143,elect,vt.选举;推举;选择vi.进行选举;作出选择,,,,
144,employ,vt.雇佣n.受雇;雇佣,,,,
145,encounter,v.遇到;偶然碰到;遭遇n.遭遇;意外的相见,,,,
146,encourage,vt.鼓励;激励;怂恿;促进;助长;激发,,,,
147,enjoy,vt.享受…的乐趣;欣赏;喜爱,,,,
148,enlarge,v.扩大;扩展;扩充;放大,,,,
149,enter,vt.进入;参加;加入;写入,vi.进去;进来,,,
150,envy,vt.妒忌;羡慕n.妒忌;羡慕;妒忌的对象,,,,
151,equip,vt.(智力、体力上)使有准备;配备;装备,,,,
152,escape,vi.逃跑;逃避;逃过…的注意;逸出,n.逃跑,,,
153,examine,vt.检查;调查;仔细观察;对…进行考查,,,,
154,exchange,vt.交换;互换;兑换,n.交换;交流;交易所,,,
155,excite,vt.激动;使兴奋;激发;刺激;唤起,,,,
156,exist,vi.存在;生存;生活,,,,
157,expect,vt.期待;预期;盼望;认为;指望;希望,,,,
158,explain,v.解释;说明;可作解释的事物,,,,
159,explode,v.爆炸;爆发;突发;发怒;激增;迅速扩大,,,,
160,export,vt.输出;出口,n.出口;出口企业;出口品,,,
161,express,v.(用言词)表达;陈述;表示;体现,n.快车,,,
162,fade,vi.褪去;褪色;逐渐消失;凋谢vt.使褪色,,,,
163,fail,v.失败;不;未能;评定考试不及格;失灵,,,,
164,fall,vi./n.降落;陷落;跌倒;下降;减弱;秋季,,,,
165,fasten,vt./vi.扣紧;系;使固定;闩上,,,,
166,feed,v.喂(养);饲(养);吃饲料;(with)向…提供,,,,
167,feel,v.触;认为,vi.感觉;觉得,,,
168,fetch,vt./vi.去拿来;请人来;接来;带来,,,,
169,fill,vt.装满;充满;填充;占据;担任;补缺,,,,
170,find,v.(found;found)找到;发现;发觉;感到,,,,
171,finish,v.完成结束n.结束;末尾;最后阶段(或部分),,,,
172,fix,vt.固定;修理;安排,vi.固定;凝固;凝视,,,
173,flag,v.(用特殊记号)标出(某物;以引起特别注意),,,,
174,flash,vt./vi.闪出亮光;掠过;闪现,n.闪现的亮光,,,
175,flee,vi.逃走;逃掉vt.逃离;避开;逃避,,,,
176,flow,vi.流动;飘动,vt.淹没,n.(水;气)流;流量,,
177,fold,v.折叠;缠绕;可以折叠n.具有共同目标的人,,,,
178,follow,v.跟随;顺…前进;领会;密切注意;结果是,,,,
179,forbid,v.(forbade;forbidden)禁止;不许,,,,
180,forget,vt.忘记(过去式forgot),,,,
181,forgive,vt.stop being angry at; pardon原谅;宽恕,,,,
182,found,vt.成立;创立;把…建立在;兴建,,,,
183,freeze,vt.使结冰;冻结(存款、工资、物价等),,,,
184,frighten,vt.使惊吓;吓唬,vi.惊恐;害怕,,,
185,gain,v.获得;增加;表等走快,n.增进;增加;收益,,,
186,gather,v.集合;聚集;采集;收集;逐渐增加;推测,,,,
187,get,v.获得;得到;使;使得;变得;成为;到达,,,,
188,give,v.给;授予;供给;献出;让步;捐赠;发表,,,,
189,glance,v.(at;over)扫视,n.匆匆看;一瞥;一眼,,,
190,glare,vi.怒目而视;发射强光n.强光;怒视;炫耀,,,,
191,go,v.去;离开;走;放置;变成;运转,n.围棋,,,
192,govern,vt.[常被动]决定;统治;治理;支配;影响,,,,
193,greet,v.问候;招呼;迎接;作出反应;向…传来,,,,
194,grow,v.生长;成长;渐渐变成;栽培;种植;发展,,,,
195,guard,v./n.保卫;守卫;提防,n.哨兵;警卫;看守,,,
196,guard,v./n.保卫;守卫;提防,n.哨兵;警卫;看守,,,
197,guess,v./n.猜测;推测;以为;猜想,,,,
198,hang,vt.悬挂;吊;绞死;吊死,vi.悬挂;吊着,,,
199,happen,v.(偶然)发生;(+to V)碰巧;恰好,,,,
200,harvest,v.收割;收获,n.收获;收成;成果;后果,,,
201,hatch,v.图谋;计划;策划;孵,n.(船的)舱口(盖),,,
202,hate,v.憎恨;憎恶;不愿;不喜欢;对…感到抱歉,,,,
203,have,v.有;具有;体会;经受;从事;使;吃;喝,,,,
204,hear,v.听见;审讯;(from)收到…的信/电话;听说,,,,
205,help,v.帮(援)助;有助于;[呼救]救命n.帮助(手),,,,
206,hibernate,vi.(动物)冬眠,,,,
207,hide,vt.把…藏起来;躲藏;遮掩;隐瞒,n.兽皮,,,
208,hit,v.打;击;碰撞,n.击中;成功而风行一时的事物,,,
209,hold,v.(held;held)拿;抱;握住;举行;进行,,,,
210,honor,v.履行;使……付诸实现;给予(某人)荣誉,,,,
211,hurry,vi.匆忙vt.催促;急运(派),,,,
212,hurt,v.弄伤(痛);伤感情;危(损)害n.伤害;痛苦,,,,
213,imagine,vt.想像;设想;(错误地或无根据地)以为,,,,
214,impress,v.(on)盖印;留下印象;引人注目,n.印记,,,
215,improve,vt.改进;改善,vi.改善;变得更好,,,
216,include,vt.包括;把…计算在内;列为…的一部分,,,,
217,Increase,v.增加;增长;增强n.增加;增长;增强,,,,
218,infer,vt.推论;推断;猜想,,,,
219,inform,vt.通知;告诉;向…报告,vi.检举;告发,,,
220,injure,vt.伤害(感情等);损坏,,,,
221,insert,vt.插入,n.插入物;插页,,,
222,insist,v.(on)坚持;坚决主张;强烈要求;坚决认为,,,,
223,inspect,vt.检查;调查;视察,,,,
224,inspire,v.使产生灵感;启示;鼓励;激励,,,,
225,instruct,vt.指示;命令;通知;教育;指导,,,,
226,intend,vt.打算;计划;打算使(成为);想让…做,,,,
227,interrupt,v.打断;打扰;中止,n.间隔;幕间休息,,,
228,introduce,vt.介绍;引进;传入;提出(议案等)供讨论,,,,
229,invent,vt.创造;发明;虚构;捏造,,,,
230,invite,vt.邀请;招待;请求;招致(非难;危险等),,,,
231,irrigate,vt.灌溉;修水利,vi.进行灌溉,,,
232,jam,v.堵塞;使卡住;挤满,n.拥挤;堵塞;果酱,,,
233,jar,n.罐;坛,,,,
234,join,v.参加;加入;联合;连接;和…在一起,,,,
235,jump,v.跳跃;跳动,n.跳跃;跳动;暴涨;猛增,,,
236,keep,v.使保持;使继续;(from)阻止;防止;保有,,,,
237,kill,vt.杀死;消灭;破坏;毁灭;消磨(时间),,,,
238,kiss,vt.吻,vi.接吻,n.吻,,
239,kneel,v.跪下,,,,
240,know,vt.知道;了解;认识;识别,vi.知道;了解,,,
241,laugh,v.笑;(at)讥笑,n.笑声;笑;开玩笑的事物,,,
242,lay,v.放;搁;下(蛋);铺设;敷设;设置;布置,,,,
243,lead,v.带路;领导;致使;通向n.领导;主角;铅,,,,
244,leak,v.(使)漏;泄露n.漏洞;裂缝;泄漏;漏出量,,,,
245,lean,v.倾斜;依靠;靠在…上,a.瘦的;无脂肪的,,,
246,learn,v.学习;学;学会;(of;about)听到;获悉,,,,
247,leave,v.离开;动身;留下;剩下;忘带;让;听任,,,,
248,lend,vt.把…借给;贷;提供;给予,,,,
249,let,v.让;允许;听任;设;假设;出租;租给,,,,
250,liberate,vt.解放;使获得自由;释出;放出,,,,
251,lie,vi.躺;平放;处于;位于,v.说谎,n.谎话,,
252,lift,vt.提;举;解除;剽窃,vi.升起;消散,n.电梯,,
253,like,v.喜欢,prep.象;比如,a.相象的,n.象…一样,
254,link,v.连接;联系,n.环;链环;联系;纽带,,,
255,listen,vi.倾听(与介词to并用;方可置宾语),,,,
256,live,v.活着;居住,a.燃烧的;未爆炸的;直播的,,,
257,lock,v.锁上;卡住n.锁;(头发的)一缕;船闸,,,,
258,look,vi./n.看;注视,v.好像;显得,n.外表;脸色,,
259,lose,vt.丢失;迷路;输掉,vi.亏本;失败;输掉,,,
260,manage,v.管理;经营;处理;设法对付;控制;操纵,,,,
261,March,v./n.行军;前进;游行示威;进行曲;进展,,,,
262,march,v./n.行军;前进;游行示威;进行曲;进展,,,,
263,marry,v.娶;嫁;和…结婚;为…证婚;主持婚礼,,,,
264,meet,v.相遇;集合;和…会见;接;满足,n.集会,,,
265,mend,vt.修理;修补;缝补;纠正,n.修补;补钉,,,
266,mention,vt.提到;谈到,n.提述;提及,,,
267,mix,v.混合;调配;交往;相处,n.混合物;迷糊,,,
268,mourn,vi.(尤指对某人的亡故)感到悲痛;哀悼,,,,
269,move,vt.移动;感动,vi.移动;运行;动,n.走棋;步骤,,
270,multiply,vt.使增加;使繁殖;乘,vi.增加;繁殖,,,
271,nod,v.点(头);点头同意;打盹,n.点头同意;磕睡,,,
272,obey,v.服从;按照…执行;听由;听由摆布,,,,
273,observe,vt.注意到;观察;看到;遵守;奉行;评论,,,,
274,obtain,vt.获得;得到vi.通用;流行;存在,,,,
275,occur,vi.发生;存在;出现;被想起;被想到,,,,
276,offer,vt.提供;愿意做;奉献,n.提供;提议;报价,,,
277,operate,v.作业;工作;操作;经营;(对…)动手术,,,,
278,oppose,v.反对;反抗;妨碍,,,,
279,oppress,v.压迫;压制某人;使(心情等)沉重;使烦恼,,,,
280,organize,vt.组织;安排;筹办,,,,
281,overtake,vt.追上;超过;突然降临于;意外地碰上,,,,
282,owe,vt.欠…的钱;把…归功于;应感谢,vi.欠钱,,,
283,pan,v.严厉批评,n.平底锅,,,
284,pass,v.经过;通过;穿过;传递,n.通行证;考试及格,,,
285,pay,v.付款;付出代价;给予注意,n.工资;薪金,,,
286,perform,v.履行;执行;做;完成;表演;演出,,,,
287,permit,v.允许;许可;准许,n.执照;许可证,,,
288,persuade,vt.说服;劝服;使相信,a.空闲的;有闲的,,,
289,play,v.玩;做游戏;参加比赛n.游戏;玩耍;剧本,,,,
290,pollute,vt.弄脏;污染;使…堕落,,,,
291,possess,vt.占用;拥有;(感情等)支配或控制(某人),,,,
292,pour,vt.灌;蜂拥,vi.倾泻;(雨)倾盆而下,n.倾泻,,
293,praise,v.赞扬;歌颂n.称赞;赞美;赞美的话,,,,
294,pray,v.祈祷;祈求;请求;恳求,,,,
295,prefer,vt.宁可;更喜欢;宁愿(选择),,,,
296,prepare,v.准备;配备;装备;使(某人)有思想准备,,,,
297,press,v.压;按;压榨;催促,n.报刊;出版社;压,,,
298,pretend,vt.假装;自命;自称,vi.假装;装作,,,
299,prevent,v.(from)预防;防止;阻止,,,,
300,print,v.印;印刷;出版,n.印痕;印刷;印刷字体,,,
301,produce,vt.生产;制造;产生;显示;上演,n.农产品,,,
302,pronounce,vt.发…的音;宣布;宣称;断言,vi.表态,,,
303,protect,v.保护;保卫;警戒,,,,
304,prove,v.证明;证实;检验;鉴定;结果是;表明是,,,,
305,provide,vt.分;划分;隔开;分配;分享;隔开;除,,,,
306,publish,vt.公布(常用于被动语态);发表;出版,,,,
307,pull,v.拖;拉;牵;拔;采;拉伤,n.拉;拖;牵,,,
308,punish,vt.惩罚;处罚;罚款;痛击,,,,
309,push,v.推;催逼;逼迫,n.推;推力;促进;推进,,,
310,put,vt.放;搁;置;表达;使处于…状态;记下,,,,
311,quake,v./n.震动;颤抖;[口]地震,,,,
312,quarrel,v.(about;over)争吵;争论,n.争吵;口角,,,
313,rail,v.责骂;抱怨n.横杆;围栏;栏杆;秧鸡;扶手,,,,
314,raise,vt.举起;提高;增加;提出;抚养;筹集,,,,
315,reach,v.到达;达到;伸;递;联系,n.延伸;范围,,,
316,read,v.朗读;阅读,vt.辨认;观察,vi.读到;获悉,,
317,realize,vt.了解;领悟;认识到;使(希望)实现,,,,
318,rebuild,v.再建;改建;重建;改革;改造,,,,
319,receive,vt.收到;接到;接待;接见;受到;蒙受,,,,
320,recite,vt.背(朗)诵;列举出vi.背诵;朗诵,,,,
321,recognise,vt.承认;认可;认出;识别,,,,
322,recover,vi.恢复;痊愈,vt.收/挽回;重新获得/找回,,,
323,recycle,vt./vi.重复利用(用过的物资);循环使用,,,,
324,reduce,vt.缩小;减少;减低;使成为;简化;还原,,,,
325,refer,v.参考;查阅;查询;(to)提到;引用;提交,,,,
326,refuse,v.拒绝;不接受;不同意,,,,
327,regard,v.(as)把…看作为;认为;考虑;注视,n.问候,,,
328,reject,v.拒绝;扔掉;驳回;否决,n.被抛弃的东西,,,
329,relate,v.讲述(故事);使联系;显示出…与…联系,,,,
330,relay,vt.转播;使接替,vi.转播,n.转播;接力赛跑,,
331,remain,v.存留;剩下;留待;尚须;仍然是;依旧是,,,,
332,remember,v.记住;(to)转达问候;代…致意;代…问好,,,,
333,remind,vt.提醒;使想起;使发生联想,,,,
334,remove,v.除去;脱掉;消除;移动;移;免职;开除,,,,
335,renew,v.继续;(使)更新;恢复;延长有效期,,,,
336,repair,vt.修理;修补;补救;恢复,n.修理;修补,,,
337,repeat,vt.重说;重复;背诵,vi.重述,n.重复;重播,,
338,replace,vt.代替;取代;更换;调换;放回原处,,,,
339,reply,v./n.(to)回答;答复;以…作答,,,,
340,require,v.需要;(of)要求;命令,,,,
341,rescue,vt.拯救;营救;挽救,,,,
342,resist,v.抵(反)抗;抵制;抗;耐;拒受…的影响,,,,
343,respect,v.尊敬(重),n.尊敬;尊重;[pl.]敬意;问候,,,
344,retell,v.复述,,,,
345,return,v./n.回;归还;报答,a.回程的;回报的,,,
346,rewrite,vt.(rewrote;rewritten)重写;改写,,,,
347,rid,vt.使摆脱;解除负担;从…中清除,,,,
348,ride,v.骑(马、自行车、摩托车等);乘(公共汽车),,,,
349,rise,v.上升;升起,,,,
350,rob,vt.抢劫;非法剥夺;使丧失,vi.抢劫;盗窃,,,
351,roll,vi.卷;摇晃,vt.使滚动;使摇摆,n.卷;名册,,
352,rose,v.升起;上升;起立,n.玫瑰,,,
353,rot,v.(使)腐烂;腐朽,n.腐烂;废话;胡说,,,
354,rub,v.擦;搓,n.摩;擦;障碍;困难,,,
355,ruin,v.毁灭;(使)破产;堕落,n.毁灭;[pl.]废墟,,,
356,rule,v./n.统治;支配,n.规则/律;惯例,v.裁决,,
357,run,v.奔;跑;流;淌;蔓延;伸展;经营;运转,,,,
358,rush,v.(使)冲;奔,n.冲;急速行进,,,
359,satisfy,v.使满意;使高兴;使满足,,,,
360,save,vt.救;节省;保存vi.储蓄prep.除…之外,,,,
361,say,vt.说;讲;说明;比如说,vi.说;发表意见,,,
362,scream,v.(因恐惧、痛苦等而)尖声喊叫;惊呼,,,,
363,search,v.搜寻;细看;探究;调查,n.调查;寻找,,,
364,see,vt.看见;会面;探望;知道;获悉;送行,,,,
365,seek,v.寻找;探索;试图;企图,,,,
366,seem,vi.似乎;仿佛;好像是,,,,
367,seize,vt.抢占;抓住;攻击,vi.(on)利用;采用,,,
368,select,vt./vi.选择;挑选;选拔,a.精选的,,,
369,sell,vt.卖;出售;出卖;背叛,vi.卖;销售,,,
370,send,v.送;寄出;打发;派遣,,,,
371,separate,vt.使分开;区分,vi.分离,a.不同的;单独的,,
372,serve,v.服务;供职;伺候;招待;适用/合;服役,,,,
373,settle,vt.安顿;解决;结算,vi.定居;下沉;平静,,,
374,sew,v.(sewed;sewn;sewed;sewed)缝纫,,,,
375,shake,v.摇(动);震动;颤抖;握手,n.摇/震/抖动,,,
376,share,vt.分享/担/配,vi.分担,n.部分;股份;分担,,
377,shave,v.剃;刮;削;刨;理发,n.刮脸;修面,,,
378,shine,v.照耀;发光;使发光;擦亮,n.光;光泽,,,
379,shoot,v.射击;疾驰而过;发芽;发射;拍摄,n.嫩枝,,,
380,shout,v.大声叫;喊;呼出,n.呼喊;叫,,,
381,shut,vt.关;关闭;停止营业;禁闭,vi.关上,,,
382,sigh,vi./n.叹气;叹息,vt.叹息地说,,,
383,sight,vt.看见;观测,n.视力;看(pl.)名胜;看法,,,
384,sign,v.签(名);署(名),n.符号;标记;踪迹;迹象,,,
385,sing,v.唱;歌唱;嗡嗡作响;鸣响;吟咏;歌颂,,,,
386,sink,v.(sank;sunk)(使)下沉,n.水槽,,,
387,sit,vi.坐;坐下;位于;栖息;孵卵,vt.使就坐,,,
388,sleep,v.(slept;slept)睡,n.睡眠,,,
389,slide,v.(使)滑动;(使)滑行,n.滑道;滑行;幻灯片,,,
390,slip,vi.滑倒;溜走;疏忽;被错过,n.失误;滑倒,,,
391,smell,vi.散发气味,vt.嗅;闻;觉察,n.气味;嗅觉,,
392,sneeze,vi.打喷嚏;发喷嚏声n.喷嚏,,,,
394,solve,v.解答(谜等);解决(问题、困难等),,,,
395,sow,v.插种;使产生(情感、想法等),,,,
396,spare,v.让给;抽出(时间);饶恕,a.剩余的/备用的,,,
397,speak,v.说话;讲话;演说;发言;(in)说某种语言,,,,
398,spend,vt.花费(钱、时间等);消磨,vi.花费;耗尽,,,
399,spit,vi.吐唾沫(或痰)vt.吐出n.唾液;唾沫,,,,
400,split,v.劈开;裂开,a.分裂的,n.裂缝/口;分化/裂,,
401,spread,vt.展开;铺开,vi.流传;蔓延,n.伸展;扩展,,
402,spring,vi.跃;出现;发芽,n.泉;泉水;弹簧;春天,,,
403,stand,vi.站立;位于;经受,n.台;座;货摊;立场,,,
404,stare,v.(at)盯;凝视;目不转睛地看,,,,
405,start,v.开始/动;动身;开设,n.开端;出发;吃惊,,,
406,starve,vi.饿死;挨饿;极需;渴望,vt.使挨饿,,,
407,stay,vi.逗留;保持vt.停止;延缓n.逗留;停留,,,,
408,steal,vi.偷盗;悄悄地走vt.偷盗n.便宜货,,,,
409,strengthen,v.加强;巩固;变强;实力增强,,,,
410,study,vt.学习;研究;细看,vi.读书,n.学习;研究,,
411,succeed,vi.成功;继承;接替,vt.接替;接…之后,,,
412,suck,v./n.吸;舐;吸收(取),,,,
413,suffer,v.(from)受痛苦;患病;受损失;遭受;忍受,,,,
414,suggest,v.建议;提议;使想起;暗示;意思是,,,,
415,supply,v.(with;to)供给;满足;补足,n.供应(量),,,
416,suppose,v.料想;猜测;假定;以为;[祈使句]让;设,,,,
417,surround,vt.包围;环绕,n.环绕物,,,
418,swallow,vt.吞;咽;轻信vi.咽口水n.燕子;吞,,,,
419,sweat,vi.出汗;流汗n.汗;汗水,,,,
420,swim,vi.游泳;充满;充溢,vt.游过,n.游泳,,
421,swing,v.(使)摆动;(使)转动,n.摆动;摇摆;秋千,,,
422,take,v.拿取;吃;记录;取得;花费;捕获;认为,,,,
423,tap,vt.轻叩;轻拍;开发;利用,n.塞子;龙头,,,
424,teach,vt.教;讲授;教导(训)vi.讲课;当教师,,,,
425,tell,vt.告诉;讲述;告诫;吩咐;命令;辨/区别,,,,
426,tent,vi./n.(住)帐篷;宿营,,,,
427,terrify,vt.使(某人)感到恐怖;使害怕,,,,
428,thank,vt.感谢int.[-s]谢谢,,,,
429,thicken,vt.(使)变厚(或粗);(使)变浓,,,,
430,think,v.想;思索;认为;以为;想要;料想;预料,,,,
431,throw,vt.扔;使突然陷入;使困惑n.投掷(距离),,,,
432,tie,vt.拴;扎;捆;系;打结,n.领带(结);纽带,,,
433,tire,vt.(使)感到疲劳;(使)厌倦;(使)厌烦,,,,
434,touch,vi.触;摸,vt.触摸;触动;提到,n.触觉;触,,
435,translate,v.翻译;解释;转化;化,,,,
436,transport,v.运输;搬运,n.运输;运输系统;运载工具,,,
